"資料集名稱","檔案格式","下載連結","資料集類型","資料集描述","主要欄位說明","資料集提供機關","更新頻率" ,"授權方式","授權說明網址","計費方式","編碼格式","資料集提供機關聯絡人","資料集提供機關聯絡人電話","備註"
"獨立音樂","json","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeJ&category=5","rawData","獨立樂團之音樂藝文表演。地理資訊以表演地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"獨立音樂","xls","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeE&category=5","other","獨立樂團之音樂藝文表演。地理資訊以表演地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"徵選活動","xml","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeX&category=14","rawData","公開徵選之藝文活動，如金鼎獎、美展、創意大賞等。地理資訊以活動地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"徵選活動","json","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeJ&category=14","rawData","公開徵選之藝文活動，如金鼎獎、美展、創意大賞等。地理資訊以活動地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"徵選活動","xls","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeE&category=14","other","公開徵選之藝文活動，如金鼎獎、美展、創意大賞等。地理資訊以活動地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"競賽活動","xml","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeX&category=13","rawData","競賽型藝文資訊，如舞蹈、歌唱、繪畫等比賽。地理資訊以該資訊地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"競賽活動","json","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeJ&category=13","rawData","競賽型藝文資訊，如舞蹈、歌唱、繪畫等比賽。地理資訊以該資訊地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"競賽活動","xls","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeE&category=13","other","競賽型藝文資訊，如舞蹈、歌唱、繪畫等比賽。地理資訊以該資訊地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"綜藝活動","xml","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeX&category=11","rawData","具有表演、美食、講座、旅遊…等綜合類型之整合活動。地理資訊以活動地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"綜藝活動","json","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeJ&category=11","rawData","具有表演、美食、講座、旅遊…等綜合類型之整合活動。地理資訊以活動地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"綜藝活動","xls","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeE&category=11","other","具有表演、美食、講座、旅遊…等綜合類型之整合活動。地理資訊以活動地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"電影","xml","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeX&category=8","rawData","藝文機構電影欣賞節目表。地理資訊以節目播放地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"電影","json","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeJ&category=8","rawData","藝文機構電影欣賞節目表。地理資訊以節目播放地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"電影","xls","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeE&category=8","other","藝文機構電影欣賞節目表。地理資訊以節目播放地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"講座資訊","xml","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeX&category=7","rawData","專題演講及藝文座談會等。地理資訊以講座主辦地點之地址(結合Google map)及其緯度、經度表示","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"講座資訊","json","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeJ&category=7","rawData","專題演講及藝文座談會等。地理資訊以講座主辦地點之地址(結合Google map)及其緯度、經度表示","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"講座資訊","xls","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeE&category=7","other","專題演講及藝文座談會等。地理資訊以講座主辦地點之地址(結合Google map)及其緯度、經度表示","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"展覽資訊","xml","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeX&category=6","rawData","展覽資訊。地理資訊以展覽地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"展覽資訊","json","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeJ&category=6","rawData","展覽資訊。地理資訊以展覽地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"展覽資訊","xls","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeE&category=6","other","展覽資訊。地理資訊以展覽地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"演唱會","xml","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeX&category=17","rawData","演唱會資訊。地理資訊以演唱會主辦地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"演唱會","json","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeJ&category=17","rawData","演唱會資訊。地理資訊以演唱會主辦地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"演唱會","xls","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeE&category=17","other","演唱會資訊。地理資訊以演唱會主辦地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
